year,abbr,D_votes,R_votes,T_votes,total_votes
1968,AK,35411,37600,10024,83035
1968,AL,196389,146284,690731,1033404
1968,AR,188228,190759,240982,619969
1968,AZ,170019,264806,46352,481177
1968,CA,3195551,3379776,481372,7056699
1968,CO,335174,409375,60813,805362
1968,CT,621561,556721,76650,1254932
1968,DC,139566,31012,0,170578
1968,DE,89194,96714,28459,214367
1968,FL,664193,863405,616015,2143613
1968,GA,334237,379663,535368,1249268
1968,HI,140060,89612,3108,232780
1968,IA,476699,619106,66522,1162327
1968,ID,89273,165369,36541,291183
1968,IL,2039814,2174844,374077,4588735
1968,IN,806659,1067885,243108,2117652
1968,KS,300893,475068,88121,864082
1968,KY,397541,462411,193098,1053050
1968,LA,311609,257277,530300,1099186
1968,MA,1468872,766445,87979,2323296
1968,MD,533583,512367,177950,1223900
1968,ME-01,112843,88406,3390,204639
1968,ME-02,104469,80848,2980,188297
1968,ME-AL,217312,169254,6370,392936
1968,MI,1593082,1370665,331968,3295715
1968,MN,857738,658643,68931,1585312
1968,MO,783684,800764,204615,1789063
1968,MS,150644,88516,415349,654509
1968,MT,114117,138835,20015,272967
1968,NATIONAL,31140118,31563754,9858083,72561955
1968,NC,464113,627192,496188,1587493
1968,ND,94769,138669,14244,247682
1968,NE-01,61274,110909,11633,183816
1968,NE-02,59078,84690,19044,162812
1968,NE-03,50432,125564,14227,190223
1968,NE-AL,170784,321163,44904,536851
1968,NH,130589,154903,11173,296665
1968,NJ,1263896,1325130,262165,2851191
1968,NM,130081,169692,25737,325510
1968,NV,60598,73188,20432,154218
1968,NY,3371127,3001838,359362,6732327
1968,OH,1697877,1786468,466640,3950985
1968,OK,300173,446031,190665,936869
1968,OR,358866,408433,49683,816982
1968,PA,2243792,2076926,376905,4697623
1968,RI,246518,122359,15678,384555
1968,SC,197486,254062,215430,666978
1968,SD,118023,149841,13400,281264
1968,TN,351233,472592,424792,1248617
1968,TX,1251082,1192394,575215,3018691
1968,UT,156665,238728,26906,422299
1968,VA,442337,590319,321833,1354489
1968,VT,70255,85142,6007,161404
1968,WA,600683,567029,94406,1262118
1968,WI,748804,809997,127835,1686636
1968,WV,374091,307555,72560,754206
1968,WY,45173,70927,11105,127205
1972,AK,32967,55349,6903,95219
1972,AL,254769,727034,0,981803
1972,AR,198899,445751,0,644650
1972,AZ,198540,402812,0,601352
1972,CA,3466510,4590286,0,8056796
1972,CO,330071,597590,0,927661
1972,CT,555498,810763,18016,1384277
1972,DC,127627,35226,568,163421
1972,DE,92283,140357,2876,235516
1972,FL,712760,1845942,0,2558702
1972,GA,289529,881496,0,1171025
1972,HI,101409,168865,0,270274
1972,IA,496206,706207,0,1202413
1972,ID,80826,199384,0,280210
1972,IL,1913961,2750412,0,4664373
1972,IN,708838,1406397,0,2115235
1972,KS,268021,612953,0,880974
1972,KY,371884,678262,0,1050146
1972,LA,298142,687268,0,985410
1972,MA,1332540,1112018,0,2444558
1972,MD,505781,829305,0,1335086
1972,ME-01,85028,135388,100,220516
1972,ME-02,75556,121120,129,196805
1972,ME-AL,160584,256508,229,417321
1972,MI,1436541,1926772,0,3363313
1972,MN,802346,898267,0,1700613
1972,MO,690610,1142011,0,1832621
1972,MS,126782,505125,0,631907
1972,MT,120197,183976,0,304173
1972,NATIONAL,29033563,46928697,71488,76033748
1972,NC,418725,1054889,0,1473614
1972,ND,100384,174109,6021,280514
1972,NE-01,66018,133300,0,199318
1972,NE-02,56211,124823,0,181034
1972,NE-03,47762,148175,0,195937
1972,NE-AL,169991,406298,0,576289
1972,NH,116435,213724,3900,334059
1972,NJ,1092788,1835319,0,2928107
1972,NM,141084,235606,0,376690
1972,NV,66016,115750,0,181766
1972,NY,2948523,4184177,0,7132700
1972,OH,1554631,2430371,0,3985002
1972,OK,247018,758513,0,1005531
