year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes
1916,AL,99409,28662,1916,2657,"{""Allan Benson"": 1916, ""James Hanly"": 741}",130728
1916,AR,112211,48879,6999,9014,"{""Allan Benson"": 6999, ""James Hanly"": 2015}",170104
1916,AZ,33170,20524,3174,4327,"{""Allan Benson"": 3174, ""James Hanly"": 1153}",58021
1916,CA,466289,462516,42898,70798,"{""Allan Benson"": 42898, ""James Hanly"": 27713}",999603
1916,CO,178816,102308,10049,13251,"{""Allan Benson"": 10049, ""James Hanly"": 2793, ""No Candidate (Bull Moose)"": 409}",294375
1916,CT,99786,106514,5179,7574,"{""Allan Benson"": 5179, ""Arthur Reimer"": 606, ""James Hanly"": 1789}",213874
1916,DE,24753,26011,566,1046,"{""Allan Benson"": 480, ""James Hanly"": 566}",51810
1916,FL,55984,14611,5353,10139,"{""Allan Benson"": 5353, ""James Hanly"": 4786}",80734
1916,GA,127754,11294,20692,21633,"{""Allan Benson"": 941, ""No Candidate (Bull Moose)"": 20692}",160681
1916,IA,218699,280439,10973,14804,"{""Allan Benson"": 10973, ""Arthur Reimer"": 460, ""James Hanly"": 3371}",513942
1916,ID,70054,55368,8066,9193,"{""Allan Benson"": 8066, ""James Hanly"": 1127}",134615
1916,IL,950229,1152549,61394,89929,"{""Allan Benson"": 61394, ""Arthur Reimer"": 2488, ""James Hanly"": 26047}",2192707
1916,IN,334063,341005,21855,43780,"{""Allan Benson"": 21855, ""Arthur Reimer"": 1659, ""James Hanly"": 16368, ""No Candidate (Bull Moose)"": 3898}",718848
1916,KS,314588,277658,24685,37567,"{""Allan Benson"": 24685, ""James Hanly"": 12882}",629813
1916,KY,269990,241854,4734,8234,"{""Allan Benson"": 4734, ""Arthur Reimer"": 332, ""James Hanly"": 3039, ""No Candidate (Bull Moose)"": 129}",520078
1916,LA,79875,6466,6349,6641,"{""Allan Benson"": 292, ""No Candidate (Bull Moose)"": 6349}",92982
1916,MA,247885,268784,11058,15154,"{""Allan Benson"": 11058, ""Arthur Reimer"": 1097, ""James Hanly"": 2993}",531823
1916,MD,138359,117347,2903,6333,"{""Allan Benson"": 2674, ""Arthur Reimer"": 756, ""James Hanly"": 2903}",262039
1916,ME-AL,64033,69508,2177,2773,"{""Allan Benson"": 2177, ""James Hanly"": 596}",136314
